displayName,imagePath,maskOptions,framePickerOptions
Midnight,m15Extras/midnightFull.png,Full-0-0-744-1039;Title-0-0-744-1039;Type-0-0-744-1039;Rules Text-0-0-744-1039;Pinline-0-0-744-1039;Frame-0-0-744-1039;Box Topper-0-0-744-1039,Regular
Dark Gray,m15Extras/darkGrayFull.png,Full-0-0-744-1039;Title-0-0-744-1039;Type-0-0-744-1039;Rules Text-0-0-744-1039;Pinline-0-0-744-1039;Frame-0-0-744-1039;Box Topper-0-0-744-1039,Regular
Clear Art Pinline,m15Extras/clearArtPinline.png,Full-0-0-744-1039;Pinline-0-0-744-1039,Regular
